Component,Lambda,Metric,Value,CI
A,0.80,wait,0.294724,0.0030613989808844634
B,0.80,pop,1.776262,0.018371755503329413
B,0.80,rt,2.221845,0.02074710342637546
B,0.80,thr,0.799249,0.001727138469117055
B,0.80,util,0.639119,0.001971310161735203
B,0.80,wait,1.422086,0.01967327741994768
P,0.80,pop,0.468634,0.0023244152091032155
P,0.80,rt,0.586380,0.0023129058805540924
P,0.80,thr,0.799249,0.0017296777004378006
P,0.80,util,0.319281,9.130045119183277E-4
P,0.80,wait,0.186828,0.0018035697933621384
System,0.80,pop,3.511095,0.025982017656037124
System,0.80,rt,4.392108,0.0267453549882145
System,0.80,thr,0.799249,0.00172853802995274
System,0.80,util,0.890883,0.001047910153127878
A,0.85,pop,1.461513,0.011635938288791984
A,0.85,rt,0.573501,0.0038231297283202598
A,0.85,thr,2.547608,0.005504512461391804
A,0.85,util,0.594170,0.0015602424851618186
A,0.85,wait,0.340265,0.0036406929311888236
B,0.85,pop,2.123161,0.02464533645189974
B,0.85,rt,2.499334,0.026372301869001597
B,0.85,thr,0.849203,0.0018368446047196663
B,0.85,util,0.679066,0.0020938343008071194
B,0.85,wait,1.699575,0.025309811827184135
P,0.85,pop,0.513011,0.0025802279294755326
P,0.85,rt,0.604162,0.0024696492804529555
P,0.85,thr,0.849202,0.0018390175272150915
P,0.85,util,0.339234,9.694673296241471E-4
P,0.85,wait,0.204611,0.0019393190525239707
System,0.85,pop,4.097510,0.03362511327653037
System,0.85,rt,4.824001,0.03324533650333278
System,0.85,thr,0.849202,0.0018376048605176062
System,0.85,util,0.913102,9.965219392152793E-4
A,0.90,pop,1.693783,0.014698678829459999
A,0.90,rt,0.627700,0.004660702202605932
A,0.90,thr,2.697468,0.0058347219899414484
A,0.90,util,0.629119,0.0016530524848384451
A,0.90,wait,0.394464,0.004476144985972179
B,0.90,pop,2.568708,0.03437155610390361
B,0.90,rt,2.855467,0.035147401358771244
B,0.90,thr,0.899156,0.0019471085941518528
B,0.90,util,0.719019,0.0022182467716960084
B,0.90,wait,2.055708,0.034088088676826486
P,0.90,pop,0.559792,0.0029690448394591672
P,0.90,rt,0.622621,0.002705994557004347
P,0.90,thr,0.899156,0.0019508918167054118
P,0.90,util,0.359190,0.001027076949366955
P,0.90,wait,0.223069,0.0021917663299219517
System,0.90,pop,4.822053,0.04539511062768959
System,0.90,rt,5.361188,0.043534257692050674
System,0.90,thr,0.899156,0.0019493234875241122
System,0.90,util,0.932503,9.578048327973601E-4
A,0.95,pop,1.973918,0.01916168587777478
A,0.95,rt,0.692978,0.005881664475793232
A,0.95,thr,2.847328,0.006165986054563867
A,0.95,util,0.664073,0.0017460540348189742
A,0.95,wait,0.459741,0.0057029024551601025
B,0.95,pop,3.158115,0.050669927079577445
B,0.95,rt,3.325528,0.04971333969168561
B,0.95,thr,0.949111,0.0020628556983897737
B,0.95,util,0.758954,0.0023431055337492642
B,0.95,wait,2.525769,0.048685787929972406
P,0.95,pop,0.609891,0.003309578440320033
P,0.95,rt,0.642613,0.0028599306745493523
P,0.95,thr,0.949110,0.0020637814467459378
P,0.95,util,0.379153,0.0010868109657474205
P,0.95,wait,0.243062,0.0023602946100296437
System,0.95,pop,5.741736,0.0637637648873516
System,0.95,rt,6.047075,0.05937417631477514
System,0.95,thr,0.949109,0.0020615268265745403
System,0.95,util,0.949087,8.857087365025764E-4
A,1.00,pop,2.319928,0.025817737348682587
A,1.00,rt,0.773667,0.007659962804221243
A,1.00,thr,2.997187,0.006498217333359875
A,1.00,util,0.699023,0.0018392637135793142
A,1.00,wait,0.540431,0.007483788455524739
B,1.00,pop,3.979306,0.07908546037116047
B,1.00,rt,3.980019,0.07438401657106836
B,1.00,thr,0.999064,0.002174597848928912
B,1.00,util,0.798908,0.00246358302300586
B,1.00,wait,3.180260,0.07340998885629778
P,1.00,pop,0.662862,0.003677113687348546
P,1.00,rt,0.663517,0.0030404104485314016
P,1.00,thr,0.999063,0.0021748900229599092
P,1.00,util,0.399102,0.0011470346855911057
P,1.00,wait,0.263965,0.0025487644090522706
System,1.00,pop,6.961864,0.09514598629106107
System,1.00,rt,6.964539,0.08601317388062338
System,1.00,thr,0.999062,0.002172115956206101
System,1.00,util,0.963146,8.003266200659525E-4
A,1.05,pop,2.747813,0.03258720907368889
A,1.05,rt,0.872640,0.00919728558219016
A,1.05,thr,3.147039,0.006835768832591517
A,1.05,util,0.733966,0.0019333557163431466
A,1.05,wait,0.639403,0.009023456621751677
B,1.05,pop,5.214967,0.13159828584222236
B,1.05,rt,4.966001,0.11861565287126628
B,1.05,thr,1.049019,0.0022967162159974867
B,1.05,util,0.838827,0.0025786593430588657
B,1.05,wait,4.166242,0.11771618217507203
P,1.05,pop,0.720894,0.004240446770315371
P,1.05,rt,0.687213,0.0033725342314809047
P,1.05,thr,1.049016,0.0022951135110189295
P,1.05,util,0.419068,0.0012084597142941506
P,1.05,wait,0.287663,0.0029042457783081937
System,1.05,pop,8.683443,0.1518639163875987
System,1.05,rt,8.271137,0.1330407052669883
System,1.05,thr,1.049015,0.0022942983835339556
System,1.05,util,0.974596,7.264966792847246E-4
A,1.10,pop,3.306431,0.04456885550376292
A,1.10,rt,1.002189,0.012150857621125784
A,1.10,thr,3.296887,0.007136082687645148
A,1.10,util,0.768904,0.0020188924529007993
A,1.10,wait,0.768952,0.011981907186942071
B,1.10,pop,7.253221,0.2348702606780212
B,1.10,rt,6.590378,0.20384395345182627
B,1.10,thr,1.098970,0.0024013609049047748
B,1.10,util,0.878774,0.0026909153785745375
B,1.10,wait,5.790619,0.202998418377309
P,1.10,pop,0.782167,0.004913498041136284
P,1.10,rt,0.711723,0.003804833496457435
P,1.10,thr,1.098965,0.002402077291502208
P,1.10,util,0.439016,0.0012629361065430553
P,1.10,wait,0.312175,0.003303008318295473
System,1.10,pop,11.341365,0.2613164915580981
System,1.10,rt,10.308625,0.22226863649005144
System,1.10,thr,1.098964,0.0024015173468363515
System,1.10,util,0.983830,6.266654531338454E-4
A,1.15,pop,4.068052,0.06274430679699466
A,1.15,rt,1.179248,0.01658900600419817
A,1.15,thr,3.446732,0.0074323286974727395
A,1.15,util,0.803862,0.0021034964287798023
A,1.15,wait,0.946012,0.01642883631690743
B,1.15,pop,11.301907,0.5423608318662141
B,1.15,rt,9.814804,0.4556195182734552
B,1.15,thr,1.148917,0.0025097526875366067
B,1.15,util,0.918732,0.0027755378798480362
B,1.15,wait,9.015048,0.4548291787830274
P,1.15,pop,0.847884,0.005512084672750525
P,1.15,rt,0.737962,0.004061895871610549
P,1.15,thr,1.148915,0.0025232389366706743
P,1.15,util,0.458972,0.0013092842477819269
P,1.15,wait,0.338411,0.003574620237992157
System,1.15,pop,16.217790,0.576792795982767
System,1.15,rt,14.090510,0.4791837238472934
System,1.15,thr,1.148916,0.002525520141508825
System,1.15,util,0.991026,4.82487355148281E-4
A,1.20,pop,5.146122,0.10154185426340066
