Component,Lambda,Metric,Value,CI
B,0.80,pop,1.561358,0.011020027532961146
B,0.80,rt,1.953305,0.011463303840933194
B,0.80,thr,0.799256,0.0018697112224172981
B,0.80,util,0.628969,0.001856145696076686
B,0.80,wait,1.153124,0.010125656047785576
P,0.80,pop,1.271585,0.011233919901384547
P,0.80,rt,1.590507,0.011882945332402091
P,0.80,thr,0.799251,0.0018672210121133072
P,0.80,util,0.559540,0.0018716664671102614
P,0.80,wait,0.890343,0.010859897391499316
System,0.80,pop,4.325223,0.026516606969902774
System,0.80,rt,5.410453,0.02361557714165077
System,0.80,thr,0.799251,0.001868423722916419
System,0.80,util,0.935022,8.468226665219603E-4
A,0.85,pop,1.763364,0.015978195304511722
A,0.85,rt,0.691717,0.005270038698592672
A,0.85,thr,2.548179,0.005639913390856846
A,0.85,util,0.636402,0.0017137954376911248
A,0.85,wait,0.441959,0.005085667427219545
B,0.85,pop,1.767251,0.012269432335117158
B,0.85,rt,2.080495,0.012022053711426476
B,0.85,thr,0.849378,0.0019943773930830707
B,0.85,util,0.664816,0.001948071671289035
B,0.85,wait,1.278771,0.01068559684780088
P,0.85,pop,1.482180,0.014758980537454154
P,0.85,rt,1.744716,0.015533505698386095
P,0.85,thr,0.849376,0.0019883799286429067
P,0.85,util,0.595264,0.0019084770780163816
P,0.85,wait,1.043769,0.014467493083027454
System,0.85,pop,5.012141,0.03497383562976902
System,0.85,rt,5.899671,0.03136303306352502
System,0.85,thr,0.849376,0.0019883330468584886
System,0.85,util,0.950755,8.715042319683084E-4
A,0.90,pop,2.088339,0.022396027694815208
A,0.90,rt,0.773258,0.007042524087980244
A,0.90,thr,2.699031,0.006178803582671854
A,0.90,util,0.674135,0.0018694157346156265
A,0.90,wait,0.523479,0.00686068127927395
B,0.90,pop,1.978873,0.014126539443463666
B,0.90,rt,2.199287,0.01311658438071513
B,0.90,thr,0.899666,0.0019362714459776145
B,0.90,util,0.698397,0.001958922919074474
B,0.90,wait,1.398277,0.011717435826784722
P,0.90,pop,1.718783,0.017360970792441928
P,0.90,rt,1.909999,0.017316929782812313
P,0.90,thr,0.899661,0.001938808839119942
P,0.90,util,0.631100,0.0017619211676315446
P,0.90,wait,1.208391,0.01645997080922274
System,0.90,pop,5.786131,0.042839490091555986
System,0.90,rt,6.429435,0.03704055424763966
System,0.90,thr,0.899661,0.0019398660223642714
System,0.90,util,0.963833,6.488660137540359E-4
A,0.95,pop,2.526387,0.029075892561237573
A,0.95,rt,0.883776,0.008859573531185494
A,0.95,thr,2.856888,0.006177492501440335
A,0.95,util,0.714445,0.0019115175140639042
A,0.95,wait,0.633687,0.008677441538028213
B,0.95,pop,2.214418,0.014871933493778213
B,0.95,rt,2.325364,0.013287075421986958
B,0.95,thr,0.952256,0.0020534759529698926
B,0.95,util,0.730632,0.0018642540453240384
B,0.95,wait,1.525752,0.011819968195825235
P,0.95,pop,2.014412,0.023111717224133892
P,0.95,rt,2.114704,0.021957185467389048
P,0.95,thr,0.952250,0.0020418446858422516
P,0.95,util,0.666846,0.001895462100436984
P,0.95,wait,1.414309,0.02111736729632299
System,0.95,pop,6.755077,0.053466143854667095
System,0.95,rt,7.091462,0.044396208067823864
System,0.95,thr,0.952249,0.002041534237486441
System,0.95,util,0.974346,5.970790153309569E-4
A,1.00,pop,3.079219,0.04352357311958831
A,1.00,rt,1.024847,0.012937936278441954
A,1.00,thr,3.001991,0.006594397605326526
A,1.00,util,0.751241,0.0019975861791722963
A,1.00,wait,0.774588,0.012793925062598356
B,1.00,pop,2.448114,0.01570820405312282
B,1.00,rt,2.446400,0.013000382678766438
B,1.00,thr,1.000625,0.0022414536914669636
B,1.00,util,0.759547,0.00187699142908835
B,1.00,wait,1.646065,0.011524259442749181
P,1.00,pop,2.349100,0.03243661665803498
P,1.00,rt,2.346330,0.029333405571277903
P,1.00,thr,1.000622,0.0022415472848926277
P,1.00,util,0.699851,0.0021051767026376276
P,1.00,wait,1.646817,0.02856418621129948
System,1.00,pop,7.875583,0.07571478954419031
System,1.00,rt,7.866849,0.06190601526976734
System,1.00,thr,1.000623,0.0022460184593800212
System,1.00,util,0.982028,4.983654876340537E-4
A,1.05,pop,3.718717,0.05643930578755372
A,1.05,rt,1.179966,0.016041184274493577
A,1.05,thr,3.148550,0.007397073723459652
A,1.05,util,0.786646,0.0021348541451085327
A,1.05,wait,0.930109,0.015894152088645117
B,1.05,pop,2.688152,0.016850110195449502
B,1.05,rt,2.561553,0.013481226228968244
B,1.05,thr,1.049395,0.0023920582632806536
B,1.05,util,0.786219,0.001969759380815853
B,1.05,wait,1.761764,0.0120218869157264
P,1.05,pop,2.797937,0.04622184309832121
P,1.05,rt,2.664416,0.040732191468372404
P,1.05,thr,1.049392,0.002389235536449408
P,1.05,util,0.734840,0.0025406705602032758
P,1.05,wait,1.964088,0.039665862173382506
System,1.05,pop,9.203153,0.09226303585582332
System,1.05,rt,8.765448,0.07317148660960344
System,1.05,thr,1.049392,0.002391070882628146
System,1.05,util,0.987966,4.594895307715199E-4
A,1.10,pop,4.835196,0.09061529392296178
A,1.10,rt,1.462482,0.02585125922571271
A,1.10,thr,3.303305,0.006511068789923754
A,1.10,util,0.826352,0.0020850633937661437
A,1.10,wait,1.212313,0.025652583254992287
B,1.10,pop,2.934887,0.016600059479861047
B,1.10,rt,2.665289,0.012483514756573165
B,1.10,thr,1.101130,0.00216039945047468
B,1.10,util,0.811029,0.001808155553230519
B,1.10,wait,1.867315,0.011169527152312411
P,1.10,pop,3.369050,0.059749590455045104
P,1.10,rt,3.057755,0.051188505547878224
P,1.10,thr,1.101113,0.002146153054841242
P,1.10,util,0.770784,0.0024197671146866037
P,1.10,wait,2.357675,0.05012576310761497
System,1.10,pop,11.138390,0.13326150759327524
System,1.10,rt,10.110325,0.10826293527560286
System,1.10,thr,1.101113,0.002146773938922791
System,1.10,util,0.992710,3.002318693988122E-4
A,1.15,pop,6.303477,0.15387406984405716
A,1.15,rt,1.822894,0.04173493862388866
A,1.15,thr,3.452566,0.007702213130203201
A,1.15,util,0.862899,0.002127633985013773
A,1.15,wait,1.572949,0.041624798531445545
B,1.15,pop,3.197948,0.01765315392061165
B,1.15,rt,2.778794,0.012677613579377828
B,1.15,thr,1.150807,0.0023238341063228913
B,1.15,util,0.834506,0.0016722492528255422
B,1.15,wait,1.979453,0.011236112068629327
P,1.15,pop,4.108972,0.0728663731242916
P,1.15,rt,3.567853,0.059172712190850275
P,1.15,thr,1.150787,0.0023317486253270694
P,1.15,util,0.804649,0.002548540685821926
P,1.15,wait,2.868559,0.05827679036007674
System,1.15,pop,13.607063,0.20801715034758472
System,1.15,rt,11.813838,0.16307281903198603
System,1.15,thr,1.150782,0.002336621756951886
System,1.15,util,0.995638,2.4172312825729717E-4
A,1.20,pop,9.154460,0.32497104429221474
A,1.20,rt,2.532189,0.08599530158925528
A,1.20,thr,3.606949,0.00789763683523625
A,1.20,util,0.901873,0.0024678916432663224
A,1.20,wait,2.282134,0.08582538207281372
B,1.20,pop,3.464557,0.020184046947249592
B,1.20,rt,2.881371,0.01366318822351394
B,1.20,thr,1.202317,0.002628643590786859
B,1.20,util,0.855775,0.001658707091536483
B,1.20,wait,2.082238,0.012138510179470664
P,1.20,pop,5.296905,0.13220173268594995
P,1.20,rt,4.401107,0.10498068796419974
P,1.20,thr,1.202297,0.0025922333370187343
P,1.20,util,0.841848,0.0026426146624613806
P,1.20,wait,3.700833,0.10395174030357866
System,1.20,pop,17.907502,0.3978065823599735
System,1.20,rt,14.874928,0.3069653158501966
System,1.20,thr,1.202293,0.0025837812443650658
System,1.20,util,0.997773,1.868117335069509E-4
