Component,Lambda,Metric,Value,CI
A,8.00,wait,2.233753,0.07550505668081595
B,8.00,pop,3.865141,0.02430450003987213
B,8.00,rt,3.223697,0.016645551295415496
B,8.00,thr,1.198870,0.002593082322653461
B,8.00,util,0.868591,0.0016546897414578743
B,8.00,wait,2.423938,0.015211104139740243
P,8.00,pop,5.166559,0.11854536448792044
P,8.00,rt,4.305399,0.0930564043356741
P,8.00,thr,1.198856,0.0026142179043940126
P,8.00,util,0.838133,0.0024073014123851826
P,8.00,wait,3.606194,0.09239431326765575
System,8.00,pop,17.977827,0.36220677789369987
System,8.00,rt,14.978914,0.27868292430164887
System,8.00,thr,1.198854,0.0026189986361857738
System,8.00,util,0.997707,1.87823635540277E-4
A,9.00,pop,8.940708,0.28291209126362993
A,9.00,rt,2.481937,0.07565425025734104
A,9.00,thr,3.596549,0.007352125738405134
A,9.00,util,0.898785,0.0021908503618107804
A,9.00,wait,2.232024,0.07548274060807898
B,9.00,pop,4.277244,0.029371176208460043
B,9.00,rt,3.567189,0.020091381963531746
B,9.00,thr,1.198865,0.002587792886098287
B,9.00,util,0.879234,0.0017084610523287074
B,9.00,wait,2.767430,0.01872454395307317
P,9.00,pop,5.161731,0.11690883356573036
P,9.00,rt,4.301469,0.09164443822838068
P,9.00,thr,1.198855,0.0026170377156387145
P,9.00,util,0.838137,0.0024101940889222607
P,9.00,wait,3.602263,0.09096705138881273
System,9.00,pop,18.378890,0.3637215932963966
System,9.00,rt,15.313068,0.27922455984801503
System,9.00,thr,1.198854,0.002624281638899127
System,9.00,util,0.997879,1.8081501495461821E-4
A,10.00,pop,8.943786,0.2799422335192407
A,10.00,rt,2.482761,0.07480896041609324
A,10.00,thr,3.596549,0.00735740416213525
A,10.00,util,0.898759,0.002193970480135317
A,10.00,wait,2.232849,0.07463649676187298
B,10.00,pop,4.678820,0.03461859388696395
B,10.00,rt,3.901913,0.024053546988093213
B,10.00,thr,1.198868,0.002601021986192405
B,10.00,util,0.887895,0.001749417011698366
B,10.00,wait,3.102155,0.02270408176403706
P,10.00,pop,5.167372,0.11581628357763696
P,10.00,rt,4.306192,0.09080957651429335
P,10.00,thr,1.198853,0.002618501182213908
P,10.00,util,0.838139,0.002407218272557426
P,10.00,wait,3.606986,0.0901247610306248
System,10.00,pop,18.789495,0.3651586552038886
System,10.00,rt,15.655371,0.2795583173354862
System,10.00,thr,1.198850,0.0026229864708387633
System,10.00,util,0.997989,1.7155567159739789E-4
