  j (lag)   r[j] (autocorrelation)
  1          0,144
  2          0,061
  3          0,042
  4          0,079
  5          0,146
  6          0,003
  7          0,045
  8          0,101
  9          0,138
  10          0,159
  11          0,120
  12          0,104
  13          0,157
  14          0,234
  15          0,143
  16          0,120
  17          0,193
  18          0,176
  19          0,271
  20          0,193
  21          0,115
  22          0,212
  23          0,100
  24          0,274
  25          0,117
  26          0,066
  27          0,201
  28          0,053
  29          0,233
  30          0,056
  31          0,136
  32          0,029
  33          0,081
  34          0,092
  35          0,138
  36          0,121
  37          0,112
  38          0,165
  39          0,114
  40          0,012
  41          0,022
  42          0,162
  43          0,235
  44          0,181
  45          0,090
  46          0,187
  47          0,197
  48          0,222
  49          0,157
  50          0,037
